Song Title,Artist,Spotify URI,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Tempo
But it's Destiny,10cm,29yUM7cyxQgVn9MfrJjCom,0.229,0.474,0.461,0,0.111,0.0328,0.116,73.994
Give You My Heart,IU,6dGsBRuavumBs5BghcXF3D,0.683,0.344,0.43,0,0.0881,0.0434,0.385,167.332
I Love You Boy,Suzy,155N0vbPqPFs9DzBNR41T7,0.74,0.335,0.383,0,0.0988,0.0298,0.149,147.636
My Destiny,Lyn,0hKA3q6BWtKg5mdet7E1fX,0.785,0.346,0.437,4.23E-05,0.119,0.0423,0.107,127.145
We're Already,KIMMUSEUM,1kuML8BXbxGjfxQ1FkJPwI,0.671,0.406,0.492,0,0.0992,0.0303,0.279,91.241
Stardust love song,JIHYO,01Evjih77HRm4aG3YeGcX7,0.758,0.394,0.241,0,0.125,0.031,0.149,128.659
"Every day, Every Moment",Paul Kim,3Ml2s37uS9jqRM2R3bfDiB,0.859,0.47,0.288,1.78E-05,0.103,0.0279,0.153,133.25
그때 그 아인,Kim Feel,7mCdQsRW5gLLxVGDPPGt5j,0.763,0.332,0.327,0,0.108,0.0298,0.091,130.234
Goodbye,WENDY,2ogfEqGNv9LAzkPY6rjfsi,0.861,0.46,0.316,0,0.111,0.0317,0.51,128.913
Introduce me a good person,JOY,2OAEKEb0778gsDaCef7MLI,0.693,0.618,0.562,0,0.123,0.0306,0.725,94.032
All of My Days,KIMSEJEONG,2RBuzNyLuV1jXU8qi84Hiy,0.879,0.495,0.388,0,0.309,0.0424,0.399,69.694
If,TAEYEON,76do9IBWqoiwV3EyoP25Le,0.827,0.538,0.346,0,0.0973,0.0294,0.266,145.714
LOVE,Brown Eyed Girls,6hQZn0khzhIZmMQ2erzx6q,0.0557,0.736,0.799,0,0.102,0.0442,0.93,134.001
Hope,H.O.T.,0LW6E8rEAltX9Svci5M3Z1,0.058,0.652,0.968,0,0.144,0.0857,0.731,99.962
Couple,SECHSKIES,3VuQoOFwJdcQ5IOamXlWZa,0.0554,0.793,0.88,3.67E-05,0.497,0.0319,0.891,110.025
거짓말 Lie,god,2OFK4w8BI3gU4kn0ieHSJc,0.216,0.803,0.431,0,0.0864,0.328,0.561,133.861
Ruby,Fin.K.L,10dxjxvKWTuJmG6vBKMz8j,0.216,0.852,0.76,1.69E-06,0.245,0.0355,0.941,105.022
Com` Back,SECHSKIES,2I0ZI9OGrihh0Dbn8RVSr8,0.0238,0.673,0.995,0,0.303,0.129,0.359,144.007
Wild Eyes,SHINHWA,5uvNlHJPu9mOcYT64rxRbl,0.0142,0.809,0.883,0,0.12,0.214,0.888,105.119
너를 사랑해,S.E.S.,5Qy3PCR9u6KeNAjRV405uv,0.0482,0.813,0.846,0,0.0963,0.039,0.865,103
Now,Fin.K.L,2lo3hI7t1AQCCoeqrxYexu,0.0203,0.815,0.911,1.17E-05,0.22,0.0586,0.871,118.004
"Hey, Come On!",SHINHWA,5VOTPW5potAFI9gH3QrjV5,0.0361,0.794,0.925,0,0.285,0.121,0.787,103.025
Full of happiness,H.O.T.,2ppv5E2a22qoXwYdL6GjvS,0.0111,0.768,0.937,1.18E-06,0.177,0.0523,0.77,133.046
Dreams Come True,S.E.S.,6whFRgwg7je2SYzpSfansM,0.0813,0.706,0.835,0.00165,0.336,0.0506,0.771,93.943
T.O.P. (Twinkling Of Paradise),SHINHWA,3b0Bt0CBAEesLLO0CifT5r,0.0334,0.638,0.781,0.000351,0.085,0.0519,0.813,87.994
Twilight Zone,S.E.S.,6jNlqfd6N7IUe0mEm0z8So,0.0576,0.762,0.867,5.47E-05,0.152,0.0486,0.716,99.996
사랑해 그리고 기억해 Love You and Remember You,god,4ozA939dJl4dnAtwM8LObN,0.0267,0.696,0.569,0,0.0265,0.145,0.78,167.978
White,Fin.K.L,37Bv9wyQg01DjaMe4uj93a,0.427,0.684,0.818,0,0.269,0.0625,0.634,102.989
YO! 악동보고서,SHINHWA,2aS8459W3fVdMa2r8sRSd8,0.0698,0.554,0.907,0,0.121,0.316,0.53,180.024
백전무패 (百戰無敗),Click-B,1ul8G5Eam9xzVGnG11Ull9,0.0501,0.651,0.981,0,0.35,0.133,0.556,101.955
CANDY,H.O.T.,0K25zmumCzn2kFmh9zcLWy,0.134,0.741,0.977,0,0.145,0.044,0.951,119.988
Only One,SHINHWA,5TnG4hgREznnqDYe9IYlZc,0.0181,0.74,0.69,0,0.0883,0.0439,0.656,94.97
1Tym,1TYM,3LjJ0Hjqot5HDeL172lAcw,0.128,0.84,0.775,3.11E-06,0.0509,0.0555,0.908,94.141
애수 Sorrow,god,3ZfzsuGzbBiyPCtUgIoZGU,0.0361,0.808,0.922,0,0.142,0.0617,0.824,105.969
Blue Rain,Fin.K.L,6NZUXr27vdx8gyWxVRrkLS,0.335,0.64,0.575,1.22E-06,0.142,0.0296,0.478,138.97
(′Cause) I′m Your Girl,S.E.S.,5I8mg57tDvhGGGC3x14mIZ,0.124,0.757,0.911,0,0.284,0.0881,0.728,101.817
ID; Peace B,BoA,5rvP5mbQ48itt4dtosn9Yf,0.021,0.73,0.844,0,0.36,0.112,0.679,100.042
촛불하나 One Candle,god,6A1uiSNxlOU8sndZRh9oZB,0.126,0.827,0.584,0,0.0836,0.228,0.692,102.054
Eternal Love,Fin.K.L,5Z9XEChtLbIozP1JQlEjFP,0.0459,0.618,0.89,0.0194,0.0749,0.035,0.649,138.016
